index,D
640,0.7052210941910744
641,0.7067002281546593
642,0.70616564899683
643,0.7133772671222687
644,0.708801157772541
645,0.6934495121240616
646,0.7024933025240898
647,0.6914282739162445
648,0.691518247127533
649,0.7005879357457161
650,0.6950244680047035
651,0.7016580104827881
652,0.6935993507504463
653,0.6936215236783028
654,0.6920131742954254
655,0.6877596527338028
656,0.6912834569811821
657,0.6864446625113487
658,0.6892975121736526
659,0.6941044479608536
660,0.6915377154946327
661,0.6930782794952393
662,0.6959644854068756
663,0.6892722547054291
664,0.6996666416525841
665,0.6960584446787834
666,0.680593952536583
667,0.6809272021055222
668,0.6829979047179222
669,0.6881133764982224
670,0.6940700486302376
671,0.6996667087078094
672,0.697224348783493
673,0.686614565551281
674,0.70089041441679
675,0.6945956125855446
676,0.6975630670785904
677,0.7008910179138184
678,0.6932401433587074
679,0.7010636851191521
680,0.6938735693693161
681,0.7055134996771812
682,0.6981454193592072
683,0.6921597868204117
684,0.6985806673765182
685,0.7005197256803513
686,0.6947582513093948
687,0.6852478310465813
688,0.6977313905954361
689,0.702351987361908
690,0.68650072067976
691,0.6940754354000092
692,0.6779887452721596
693,0.6945635303854942
694,0.6837847158312798
695,0.704693615436554
696,0.6961706429719925
697,0.6980814784765244
698,0.6940110549330711
699,0.7071870490908623
700,0.6780954673886299
701,0.6833790019154549
702,0.6733199879527092
703,0.6883809864521027
704,0.6774565279483795
705,0.6931556984782219
706,0.6943188086152077
707,0.6958908289670944
708,0.6897997781634331
709,0.6829504147171974
710,0.6879390627145767
711,0.6806228533387184
712,0.692157194018364
713,0.6901802718639374
714,0.6769089475274086
715,0.6999575272202492
716,0.685901053249836
717,0.688095286488533
718,0.6861717849969864
719,0.6951291486620903
720,0.6932289376854897
721,0.6887876242399216
722,0.6885163187980652
723,0.688368946313858
724,0.6749864667654037
725,0.6931915879249573
726,0.6847913041710854
727,0.6974420994520187
728,0.6940002590417862
729,0.6982122585177422
730,0.7022292017936707
731,0.6880598142743111
732,0.6954489424824715
733,0.6911232993006706
734,0.7009917423129082
735,0.6908502653241158
736,0.6897027790546417
737,0.6947644874453545
738,0.6937074363231659
739,0.691864512860775
740,0.6957998499274254
741,0.6838665381073952
742,0.6871263906359673
743,0.6850263625383377
744,0.6943747103214264
745,0.6993788778781891
746,0.692741684615612
747,0.6911512836813927
748,0.6906304359436035
749,0.7032978236675262
750,0.6888417601585388
751,0.686397485435009
752,0.6795239523053169
753,0.6885833665728569
754,0.6862999722361565
755,0.6858454719185829
756,0.6943003609776497
757,0.6857884377241135
758,0.6818306669592857
759,0.6914173066616058
760,0.6876646876335144
761,0.6823433414101601
762,0.6847514063119888
763,0.6774891018867493
764,0.698457270860672
765,0.6898864805698395
766,0.6865196079015732
767,0.6876143217086792
768,0.6826348230242729
769,0.6807512417435646
770,0.6852606758475304
771,0.6743653416633606
772,0.6911643296480179
773,0.6820334494113922
774,0.6786278337240219
775,0.6863906383514404
776,0.6896887570619583
777,0.6813810616731644
778,0.6844654977321625
779,0.6848976239562035
780,0.6913997009396553
